MUN,LOC,REFUGIO,FECHA_OP,VAMP,VAMP_TX,LATITUD,LONG
Tejupilco,San Mateo (San Mateo Ixtapan),Tres barrenos,22/08/08,6,5,18.835206,-100.220139
Tejupilco,San Mateo (San Mateo Ixtapan),Tres barrenos,17/02/09,0,0,18.835206,-100.220139
Tejupilco,San Mateo (San Mateo Ixtapan),Tres barrenos,15/12/09,7,7,18.835206,-100.220139
Tejupilco,San Mateo (San Mateo Ixtapan),Tres barrenos,13/11/10,3,3,18.835206,-100.220139
Luvianos,Los pinzanes,Cueva de la madera,19/10/13,14,14,18.835381,-100.285531
Tejupilco,Santa Maria de las Flores,El guayabo,22/09/05,0,0,18.835394,-100.173611
Tejupilco,Santa Maria de las Flores,El guayabo,10/07/07,4,4,18.835394,-100.173611
Tejupilco,Santa Maria de las Flores,El guayabo,13/07/09,6,5,18.835394,-100.173611
Sultepec,San Martin,Mango solo,17/05/05,22,20,18.839222,-100.018869
Sultepec,San Martin,Mango solo,04/09/06,1,1,18.839222,-100.018869
Sultepec,San Martin,Mango solo,17/05/07,23,22,18.839222,-100.018869
Sultepec,San Martin,Mango solo,06/02/08,1,1,18.839222,-100.018869
Sultepec,San Martin,Mango solo,09/06/08,0,0,18.839222,-100.018869
Sultepec,San Martin,Mango solo,05/12/08,10,1,18.839222,-100.018869
Sultepec,San Martin,Mango solo,05/11/10,7,6,18.839222,-100.018869
Tejupilco,Acamuchitlan,Ceiba amarilla,05/11/10,8,7,18.841917,-100.270611
Tejupilco,Acamuchitlan,Ceiba amarilla,15/08/12,8,6,18.841917,-100.270611
Tejupilco,Acamuchitlan,Cueva de acamuchitl·n,02/04/12,0,0,18.842278,-100.270694
Tejupilco,Plaza de Gallos,La mina quebrada,13/07/05,5,4,18.848556,-100.235136
Tejupilco,Plaza de Gallos,La mina quebrada,14/09/06,0,0,18.848556,-100.235136
Tejupilco,Plaza de Gallos,La mina quebrada,17/09/07,0,0,18.848556,-100.235136
Tejupilco,Plaza de Gallos,La mina quebrada,22/04/08,3,2,18.848556,-100.235136
Tejupilco,Plaza de Gallos,La mina quebrada,27/10/09,0,0,18.848556,-100.235136
Tejupilco,Plaza de Gallos,La mina quebrada,20/12/10,12,11,18.848556,-100.235136
Tejupilco,El Potrero del Guayabal,Cueva el Mango,06/03/14,25,25,18.851039,-100.352572
Sultepec,San Martin,La mina del diablo,26/08/05,11,10,18.851675,-100.018803
Sultepec,San Martin,La mina del diablo,14/12/05,9,8,18.851675,-100.018803
Sultepec,San Martin,La mina del diablo,02/05/07,7,6,18.851675,-100.018803
Sultepec,San Martin,La mina del diablo,20/06/07,21,21,18.851675,-100.018803
Sultepec,San Martin,La mina del diablo,26/08/08,6,5,18.851675,-100.018803
Sultepec,San Martin,La mina del diablo,09/12/08,9,8,18.851675,-100.018803
Sultepec,San Martin,La mina del diablo,12/12/09,6,5,18.851675,-100.018803
Sultepec,San Martin,La mina del diablo,10/12/12,8,6,18.851675,-100.018803
Malinalco,Los Tepehuajes (Los Tepeguajes),Alcantarilla el crucero,06/12/12,6,4,18.851778,-99.435533
Tejupilco,Tonatilco,El tejamanil,09/09/05,9,7,18.854167,-100.202433
Tejupilco,Tonatilco,El tejamanil,10/07/07,4,4,18.854167,-100.202433
Tejupilco,Tonatilco,El tejamanil,20/12/08,10,9,18.854167,-100.202433
Malinalco,Ejido de Palpan,Cueva el Claverrivo,10/07/14,6,6,18.866922,-99.451572
Luvianos,Rincon de Arrayanes,Cueva la Cascada,28/06/14,8,8,18.867606,-100.350936
Luvianos,Zaus Palo Gordo,Cueva de la Rendija,27/02/14,8,8,18.868203,-100.534267
Tejupilco,Cuadrilla de Leones,Cueva la minita,11/06/13,6,6,18.868317,-100.184472
Tejupilco,Antimonio,Mina el guaco,10/12/12,9,7,18.868731,-100.033903
Tejupilco,Antimonio,Mina el antimonio,22/09/10,6,5,18.868792,-100.033872
Tejupilco,Antimonio,Mina el antimonio,10/12/12,5,3,18.868792,-100.033872
Texcaltitlan,Huayatenco,Mina San Quintin,13/02/13,11,11,18.868972,-99.982431
Texcaltitlan,Carbajal,Mina el rÌo,15/02/13,7,7,18.869106,-99.968858
Luvianos,La Antena (Nariz del Cerro),Cueva los llanitos,07/10/05,12,11,18.869214,-100.301983
Luvianos,La Antena (Nariz del Cerro),Cueva los llanitos,17/08/06,15,13,18.869214,-100.301983
Luvianos,La Antena (Nariz del Cerro),Cueva los llanitos,04/07/07,4,4,18.869214,-100.301983
Luvianos,La Antena (Nariz del Cerro),Cueva los llanitos,02/06/09,3,3,18.869214,-100.301983
Luvianos,San sebastian luvianos,Cueva el filo,11/10/14,17,17,18.869214,-100.301978
Malinalco,Chichicasco el Viejo,El clavelino,24/07/12,8,6,18.869250,-99.465722
Tejupilco,Cuadrilla de Leones,La minita,25/05/06,0,0,18.873583,-100.205556
Tejupilco,Cuadrilla de Leones,La minita,25/05/07,26,24,18.873583,-100.205556
Tejupilco,Cuadrilla de Leones,La minita,23/12/08,11,11,18.873583,-100.205556
Tejupilco,Cuadrilla de Leones,La minita,23/09/09,9,8,18.873583,-100.205556
Tejupilco,Cuadrilla de Leones,La minita,11/11/09,6,6,18.873583,-100.205556
Tejupilco,Cuadrilla de Leones,La minita,24/03/10,0,0,18.873583,-100.205556
Luvianos,Rincon de Arrayanes,La cascada,24/05/12,5,3,18.876056,-100.359361
Luvianos,Rincon de Arrayanes,La cascada,10/07/12,6,4,18.876056,-100.359361
Luvianos,Rincon de Arrayanes,La cascada,10/07/12,6,4,18.876056,-100.359361
Luvianos,Puerto del salitre,Cueva del socabon ,12/07/13,6,6,18.884072,-100.284589
Luvianos,Puerto del salitre,Cueva ceiba amarilla,13/07/13,13,13,18.884181,-100.283753
Texcaltitlan,Huayatenco,Rancho las Tinajas,12/02/13,6,6,18.884317,-99.968781
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del zorro,07/07/05,7,6,18.885042,-100.319028
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del zorro,10/08/06,11,11,18.885042,-100.319028
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del zorro,16/01/07,0,0,18.885042,-100.319028
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del zorro,19/05/08,8,8,18.885042,-100.319028
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del zorro,09/07/09,7,6,18.885042,-100.319028
Tejupilco,Fraguita,Alcantarilla de la fraguita,15/05/13,50,50,18.885203,-100.201461
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del frijol,05/12/05,6,5,18.885331,-100.319167
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del frijol,21/12/06,10,10,18.885331,-100.319167
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del frijol,05/01/07,9,9,18.885331,-100.319167
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del frijol,26/04/07,20,17,18.885331,-100.319167
